Issue ID,Issue Type,Summary,Description,Priority,Story Points,Sprint,Parent,Assignee,Labels,Acceptance Criteria
E1,Epic,Project Setup & Configuration,Establish project foundation and configuration,Highest,8,Sprint 1,,Backend Developer,setup;configuration,
T1,Task,Project Configuration & Dependencies,"Complete pom.xml dependencies (Spring Web, MySQL, JWT, Validation, Lombok, PDF). Configure application.properties (MySQL, JPA/Hibernate). Setup JWT (secret, expiration). Configure CORS.",Highest,3,Sprint 1,E1,Backend Developer,setup;dependencies,"Application starts without errors | MySQL connection established | Dependencies resolved"
T2,Task,Docker Configuration,"Create Dockerfile. Configure docker-compose with backend + MySQL. Setup .env variables. Test containers.",High,2,Sprint 1,E1,Backend Developer,docker;deployment,"Application runs in Docker | MySQL container connects | Env variables loaded"
T3,Task,Base Entity & Audit Trail,"Implement BaseEntity (id, createdAt, updatedAt, deletedAt). Add JPA annotations. Configure soft delete and auditing.",High,3,Sprint 1,E1,Backend Developer,entity;audit,"Entities extend BaseEntity | Timestamps auto-populate | Soft delete works"

E2,Epic,Authentication & Security,Implement JWT authentication and authorization,Highest,13,Sprint 1,,Backend Developer,security;authentication,
S1,Story,User Entity & Repository,"Implement User entity. Create repository with custom queries. Encrypt passwords with BCrypt. Define roles enum.",Highest,3,Sprint 1,E2,Backend Developer,entity;user,"User table created | Passwords encrypted | Queries working"
S2,Story,JWT Authentication Implementation,"Implement JwtProvider, JwtFilter, SecurityConfig. Configure protected/public endpoints. Implement UserDetailsService.",Highest,5,Sprint 1,E2,Backend Developer,jwt;security,"JWT generated | Protected endpoints secured | Token expiration handled"
S3,Story,Auth Controller & DTOs,"Implement register/login endpoints. Create DTOs. Implement AuthService logic.",Highest,3,Sprint 1,E2,Backend Developer,controller;auth,"Register works | Login returns JWT | Validation handled"
S4,Story,User Profile Management,"Implement UserController CRUD. Secure profile access. Implement UserService.",Medium,2,Sprint 1,E2,Backend Developer,user;profile,"Profile view/update works | Authorization enforced"

E3,Epic,Salary Management,Salary CRUD and history management,High,8,Sprint 1,,Backend Developer,salary;finance,
S5,Story,Salary Entity & Repository,"Implement Salary entity. Create repository. Link with User.",High,2,Sprint 1,E3,Backend Developer,entity;salary,"Table created | FK to User | Repository works"
S6,Story,Salary Service & Controller,"Implement SalaryService and controller with CRUD endpoints. Create DTOs.",High,3,Sprint 1,E3,Backend Developer,service;controller,"CRUD endpoints functional"
S7,Story,Salary History & Validation,"Add validation rules. Implement history endpoint, sorting, current salary endpoint.",Medium,3,Sprint 1,E3,Backend Developer,validation;history,"Validation works | History sorted | No duplicate salary"

E4,Epic,Expense Management,Expense tracking with categories and analytics,High,10,Sprint 1,,Backend Developer,expense;finance,
S8,Story,Category Entity & Enums,"Implement Category entity and enums. CRUD categories. Custom categories per user.",High,2,Sprint 1,E4,Backend Developer,entity;category,"Categories available | Custom categories supported"
S9,Story,Expense Entity & Repository,"Implement Expense entity and repository. Add relations. Date-based queries.",High,3,Sprint 1,E4,Backend Developer,entity;expense,"Table created | Relations OK | Queries work"
S10,Story,Expense Service & Controller,"Implement ExpenseService and controller. CRUD operations. DTOs.",High,3,Sprint 1,E4,Backend Developer,service;controller,"Expense CRUD works"
S11,Story,Expense Analytics,"Implement expense summary, totals by period, trends, filters.",Medium,2,Sprint 1,E4,Backend Developer,analytics;expense,"Summary and totals correct"

E5,Epic,Budget Management,Budget allocation and monitoring,High,8,Sprint 1,,Backend Developer,budget;finance,
S12,Story,Budget Entity & Repository,"Implement Budget entity and repository. Relations with User and Category.",High,2,Sprint 1,E5,Backend Developer,entity;budget,"Budget table created | Relations work"
S13,Story,Budget Service & Controller,"Implement BudgetService and controller. Allocation and spending calculation.",High,3,Sprint 1,E5,Backend Developer,service;controller,"Budget CRUD works | Remaining calculated"
S14,Story,Budget Monitoring & Alerts,"Detect overspending. Track progress. Budget status endpoint.",High,3,Sprint 1,E5,Backend Developer,monitoring;alerts,"Overspending detected | Alerts triggered"

E6,Epic,Savings Goals,Savings goal creation and tracking,High,8,Sprint 2,,Backend Developer,savings;goals,
S15,Story,SavingsGoal Entity & Repository,"Implement SavingsGoal entity and repository. Progress calculation.",High,2,Sprint 2,E6,Backend Developer,entity;savings,"Table created | Progress works"
S16,Story,SavingsGoal Service & Controller,"Implement service and controller. Goal creation and contribution endpoint.",High,3,Sprint 2,E6,Backend Developer,service;controller,"Goals managed | Contribution works"
S17,Story,Savings Goal Visualization,"Calculate progress %, estimate completion date, trigger notifications.",Medium,3,Sprint 2,E6,Backend Developer,visualization;goals,"Progress accurate | Notifications sent"
